,Title in metadata,Bundle name,Pdf file,XML file
62,Herausforderungen des Digital Storytelling am Beispiel des VRlabs des Deutschen Museums,199_final-HOHMANN_Georg_Herausforderungen_des_Digital_Storytelling_am_,199_final-HOHMANN_Georg_Herausforderungen_des_Digital_Storytelling_am_.pdf,199_final-HOHMANN_Georg_Herausforderungen_des_Digital_Storytelling_am_.xml
63,Ein Web Annotation Protocol Server zur Untersuchung vormoderner Wissensbestände,200_final-TONNE_Danah_Ein_Web_Annotation_Protocol_Server_zur_Untersuch,200_final-TONNE_Danah_Ein_Web_Annotation_Protocol_Server_zur_Untersuch.pdf,200_final-TONNE_Danah_Ein_Web_Annotation_Protocol_Server_zur_Untersuch.xml
64,"Modellprojekt ""eHumanities - interdisziplinär"": Forschungsdatenmanagement im Rahmen des ""Digitalen Campus Bayern""",201_final-SCHULZ_Julian_Modellprojekt__eHumanities___interdisziplin_r_,201_final-SCHULZ_Julian_Modellprojekt__eHumanities___interdisziplin_r_.pdf,201_final-SCHULZ_Julian_Modellprojekt__eHumanities___interdisziplin_r_.xml
65,I like to PROV it! Ein Data Object Provenance Tool für die Digital Humanities,202_final-M_HLEDER_Peter_I_like_to_PROV_it__Ein_Data_Object_Provenance,202_final-M_HLEDER_Peter_I_like_to_PROV_it__Ein_Data_Object_Provenance.pdf,202_final-M_HLEDER_Peter_I_like_to_PROV_it__Ein_Data_Object_Provenance.xml
66,DER STURM. Digitale Quellenedition zur Geschichte der internationalen Avantgarde. Drei Forschungsansätze.,204_final-TRAUTMANN_Marjam_DER_STURM__Digitale_Quellenedition_zur_Gesc,204_final-TRAUTMANN_Marjam_DER_STURM__Digitale_Quellenedition_zur_Gesc.pdf,204_final-TRAUTMANN_Marjam_DER_STURM__Digitale_Quellenedition_zur_Gesc.xml
67,Versionskontrolle mit Git + Kollaboratives Arbeiten im Web mit GitHub,205_final-DRUSKAT_Stephan_Versionskontrolle_mit_Git___Kollaboratives_A,205_final-DRUSKAT_Stephan_Versionskontrolle_mit_Git___Kollaboratives_A.pdf,205_final-DRUSKAT_Stephan_Versionskontrolle_mit_Git___Kollaboratives_A.xml
68,Paleocoran: Virtuelle Rekonstruktion von Korankodizes mit IIIF,206_final-POHL_Oliver_Paleocoran__Virtuelle_Rekonstruktion_von_Koranko,206_final-POHL_Oliver_Paleocoran__Virtuelle_Rekonstruktion_von_Koranko.pdf,206_final-POHL_Oliver_Paleocoran__Virtuelle_Rekonstruktion_von_Koranko.xml
69,Weltkulturerbe international digital: Erweiterung der Wittgenstein Advanced Search Tools durch Semantisierung und neuronale maschinelle Übersetzung,207_final-ULLRICH_Sabine_Weltkulturerbe_international_digital__Erweite,207_final-ULLRICH_Sabine_Weltkulturerbe_international_digital__Erweite.pdf,207_final-ULLRICH_Sabine_Weltkulturerbe_international_digital__Erweite.xml
70,Wissenschaftliches Bloggen mit de.hypotheses,209_final-K_NIG_Mareike_Wissenschaftliches_Bloggen_mit_de_hypotheses,209_final-K_NIG_Mareike_Wissenschaftliches_Bloggen_mit_de_hypotheses.pdf,209_final-K_NIG_Mareike_Wissenschaftliches_Bloggen_mit_de_hypotheses.xml
71,eXist-db und VueJS für dynamische UI-Komponenten,210_final-POHL_Oliver_eXist_db_und_VueJS_f_r_dynamische_UI_Komponenten,210_final-POHL_Oliver_eXist_db_und_VueJS_f_r_dynamische_UI_Komponenten.pdf,210_final-POHL_Oliver_eXist_db_und_VueJS_f_r_dynamische_UI_Komponenten.xml
72,Multimodale Stilometrie: Herausforderungen und Potenzial kombinatorischer Bild- und Textanalysen am Beispiel Comics,212_final-DUNST_Alexander_Multimodale_Stilometrie__Herausforderungen_u,212_final-DUNST_Alexander_Multimodale_Stilometrie__Herausforderungen_u.pdf,212_final-DUNST_Alexander_Multimodale_Stilometrie__Herausforderungen_u.xml
73,Interlinked: Schriftzeugnisse der klassischen Mayakultur im Spannungsfeld zwischen Stand-off- und Inlinemarkup in TEI-XML,215_final-SIKORA_Uwe_Interlinked__Schriftzeugnisse_der_klassischen_May,215_final-SIKORA_Uwe_Interlinked__Schriftzeugnisse_der_klassischen_May.pdf,215_final-SIKORA_Uwe_Interlinked__Schriftzeugnisse_der_klassischen_May.xml
74,"Methoden auf der Testbank: Ein interdisziplinäres, multimodales Lehrkonzept zur Beantwortung einer fachhistorischen Fragestellung",216_final-MOELLER_Katrin_Methoden_auf_der_Testbank__Ein_interdisziplin,216_final-MOELLER_Katrin_Methoden_auf_der_Testbank__Ein_interdisziplin.pdf,216_final-MOELLER_Katrin_Methoden_auf_der_Testbank__Ein_interdisziplin.xml
75,Umfrage zu Forschungsdaten in den Geistes- und Humanwissenschaften an der Universität zu Köln,217_final-HELLING_Patrick_Umfrage_zu_Forschungsdaten_in_den_Geistes__u,217_final-HELLING_Patrick_Umfrage_zu_Forschungsdaten_in_den_Geistes__u.pdf,217_final-HELLING_Patrick_Umfrage_zu_Forschungsdaten_in_den_Geistes__u.xml
76,Der TextImager als Front- und Backend für das verteilte NLP von Big Digital Humanities Data,218_final-HEMATI_Wahed_Der_TextImager_als_Front__und_Backend_f_r_das_v,218_final-HEMATI_Wahed_Der_TextImager_als_Front__und_Backend_f_r_das_v.pdf,218_final-HEMATI_Wahed_Der_TextImager_als_Front__und_Backend_f_r_das_v.xml
77,„Medialization follows function!“ Multimodaler Hypertext als Publikationsmedium (nicht nur) für die Geschichtswissenschaft,219_final-WACHTER_Christian__Medialization_follows_function___Multimod,219_final-WACHTER_Christian__Medialization_follows_function___Multimod.pdf,219_final-WACHTER_Christian__Medialization_follows_function___Multimod.xml
78,Multimedia aus Rezipientenperspektive: Wirkungsmessung anhand von Biofeedback,220_final-SCHL_R_Daniel_Multimedia_aus_Rezipientenperspektive__Wirkung,220_final-SCHL_R_Daniel_Multimedia_aus_Rezipientenperspektive__Wirkung.pdf,220_final-SCHL_R_Daniel_Multimedia_aus_Rezipientenperspektive__Wirkung.xml
79,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who,222_final-BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_,222_final-BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.pdf,222_final-BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml
80,Interview-Sammlungen - Digitale Erschließung und Analyse,223_final-PAGENSTECHER_Cord_Interview_Sammlungen___Digitale_Erschlie_u,223_final-PAGENSTECHER_Cord_Interview_Sammlungen___Digitale_Erschlie_u.pdf,223_final-PAGENSTECHER_Cord_Interview_Sammlungen___Digitale_Erschlie_u.xml
81,CMIF Creator - digitale Briefverzeichnisse leicht erstellt,224_final-DUMONT_Stefan_CMIF_Creator___digitale_Briefverzeichnisse_lei,224_final-DUMONT_Stefan_CMIF_Creator___digitale_Briefverzeichnisse_lei.pdf,224_final-DUMONT_Stefan_CMIF_Creator___digitale_Briefverzeichnisse_lei.xml
82,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen,226_final-ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult,226_final-ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.pdf,226_final-ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml
83,Digital Humanities “from Scratch” Herausforderungen der DH-Koordination zwischen Querschnittsaufgaben und “one-(wo)man-show”,227_final-ROEDER_Torsten_Digital_Humanities__from_Scratch_,227_final-ROEDER_Torsten_Digital_Humanities__from_Scratch_.pdf,227_final-ROEDER_Torsten_Digital_Humanities__from_Scratch_.xml
84,Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede,228_final-SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e,228_final-SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.pdf,228_final-SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml
85,Mit neuen Suchstrategien vom isolierten Text zu 'illuminierten Urkunden',229_final-B_RGERMEISTER_Martina_Mit_neuen_Suchstrategien_vom_isolierte,229_final-B_RGERMEISTER_Martina_Mit_neuen_Suchstrategien_vom_isolierte.pdf,229_final-B_RGERMEISTER_Martina_Mit_neuen_Suchstrategien_vom_isolierte.xml
86,Multimodale Sentimentanalyse politischer Tweets,230_final-SPORLEDER_Caroline_Multimodale_Sentimentanalyse_politischer_,230_final-SPORLEDER_Caroline_Multimodale_Sentimentanalyse_politischer_.pdf,230_final-SPORLEDER_Caroline_Multimodale_Sentimentanalyse_politischer_.xml
87,Vom Stellenkommentar zum Netzwerk und zurück: grosse Quellenkorpora und tief erschlossene Strukturdaten auf hallerNet,231_final-FORNEY_Christian_Vom_Stellenkommentar_zum_Netzwerk_und_zur_c,231_final-FORNEY_Christian_Vom_Stellenkommentar_zum_Netzwerk_und_zur_c.pdf,231_final-FORNEY_Christian_Vom_Stellenkommentar_zum_Netzwerk_und_zur_c.xml
88,Automatisierungs- potenziale in der qualitativen Diskursanalyse. Das Prinzip des „Filterns“,233_final-KOCH_Gertraud_Automatisierungspotenziale_in_der_qualitativen,233_final-KOCH_Gertraud_Automatisierungspotenziale_in_der_qualitativen.pdf,233_final-KOCH_Gertraud_Automatisierungspotenziale_in_der_qualitativen.xml
89,Linked Open Travel Data: Erschließung gesellschaftspolitischer Veränderungen im Osmanischen Reich im 19. Jahrh. durch ein multimediales Online-Portal,234_final-WETTLAUFER_J_rg_Linked_Open_Travel_Data__Erschlie_ung_gesell,234_final-WETTLAUFER_J_rg_Linked_Open_Travel_Data__Erschlie_ung_gesell.pdf,234_final-WETTLAUFER_J_rg_Linked_Open_Travel_Data__Erschlie_ung_gesell.xml
90,Text Mining mit Open Semantic (Desktop) Search – eine digitale Such- und Annotationsumgebung für informationsgetriebene Fragestellungen in den Geisteswissenschaften.,235_final-WETTLAUFER_J_rg_Text_Mining_mit_Open_Semantic__Desktop__Sear,235_final-WETTLAUFER_J_rg_Text_Mining_mit_Open_Semantic__Desktop__Sear.pdf,235_final-WETTLAUFER_J_rg_Text_Mining_mit_Open_Semantic__Desktop__Sear.xml
91,Kann Nonstandard standardisiert werden? Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“,237_final-SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde,237_final-SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.pdf,237_final-SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml
92,Das Wissen in der 3D-Rekonstruktion,238_final-M_NSTER_Sander_Das_Wissen_in_der_3D_Rekonstruktion,238_final-M_NSTER_Sander_Das_Wissen_in_der_3D_Rekonstruktion.pdf,238_final-M_NSTER_Sander_Das_Wissen_in_der_3D_Rekonstruktion.xml
93,Klassifikation von Titelfiguren in deutschsprachigen Dramen und Evaluation am Beispiel von Lessings „Emilia Galotti“,239_final-KRAUTTER_Benjamin_Klassifikation_von_Titelfiguren_in_deutsch,239_final-KRAUTTER_Benjamin_Klassifikation_von_Titelfiguren_in_deutsch.pdf,239_final-KRAUTTER_Benjamin_Klassifikation_von_Titelfiguren_in_deutsch.xml
94,Distant Letters: Methoden und Praktiken zur quantitativen Analyse digitaler Briefeditionen,241_final-NEUBER_Frederike_Distant_Letters__Methoden_und_Praktiken_zur,241_final-NEUBER_Frederike_Distant_Letters__Methoden_und_Praktiken_zur.pdf,241_final-NEUBER_Frederike_Distant_Letters__Methoden_und_Praktiken_zur.xml
95,Wie katalogisiert man eigentlich virtuelle Realität? Überlegungen zur Dokumentation und Vernetzung musealer Objekte und digitaler Vermittlungsformate,242_final-DIEHR_Franziska_Wie_katalogisiert_man_eigentlich_virtuelle_R,242_final-DIEHR_Franziska_Wie_katalogisiert_man_eigentlich_virtuelle_R.pdf,242_final-DIEHR_Franziska_Wie_katalogisiert_man_eigentlich_virtuelle_R.xml
96,Linked Biondo - Modelling Geographical Features in Renaissance Text and Maps,243_final-G_RZ_G_nther_Linked_Biondo___Modelling_Geographical_Features,243_final-G_RZ_G_nther_Linked_Biondo___Modelling_Geographical_Features.pdf,243_final-G_RZ_G_nther_Linked_Biondo___Modelling_Geographical_Features.xml
