,title,title from pdf,title from xml,pdf file,xml file
94,Die Kunst als Ganzes. Heterogene Bilddatensätze als Herausforderung für die Kunstgeschichte und die Computer Vision.,,Die Kunst als Ganzes. Heterogene Bilddatensätze als Herausforderung für die Kunstgeschichte und die Computer Vision.,conferences\DHd2016_neu\pdf\vortraege-004.pdf,conferences\DHd2016_neu\xml\vortraege-004.xml
95,Die Corpusanalyse multimodaler Erzählungen am Beispiel graphischer Romane,,Die Corpusanalyse multimodaler Erzählungen am Beispiel graphischer Romane,conferences\DHd2016_neu\pdf\vortraege-005.pdf,conferences\DHd2016_neu\xml\vortraege-005.xml
96,"Automatische Textanalysen in der Geschichtswissenschaft – Auswertung, Interpretation und Relevanz",,"Automatische Textanalysen in der Geschichtswissenschaft – Auswertung, Interpretation und Relevanz ",conferences\DHd2016_neu\pdf\vortraege-006.pdf,conferences\DHd2016_neu\xml\vortraege-006.xml
97,Play(s): Crowdbasierte Anreicherung eines literarischen Volltext-Korpus,,Play(s): Crowdbasierte Anreicherung eines literarischen Volltext-Korpus,conferences\DHd2016_neu\pdf\vortraege-007.pdf,conferences\DHd2016_neu\xml\vortraege-007.xml
98,Das juristische Referenzkorpus (JuReko) - Computergestützte Rechtslinguistik als empirischer Beitrag zu Gesetzgebung und Justiz,,Das juristische Referenzkorpus (JuReko) - Computergestützte Rechtslinguistik als empirischer Beitrag zu Gesetzgebung und Justiz,conferences\DHd2016_neu\pdf\vortraege-008.pdf,conferences\DHd2016_neu\xml\vortraege-008.xml
99,DH-Projekte Österreichischer Literaturarchive: Ein Problembericht,,DH-Projekte Österreichischer Literaturarchive: Ein Problembericht,conferences\DHd2016_neu\pdf\vortraege-009.pdf,conferences\DHd2016_neu\xml\vortraege-009.xml
100,Modelling the Scholarly Domain beyond Infrastructure,,Modelling the Scholarly Domain beyond Infrastructure ,conferences\DHd2016_neu\pdf\vortraege-010.pdf,conferences\DHd2016_neu\xml\vortraege-010.xml
101,Aufbau und Annotation des Kafka/Referenzkorpus,,Aufbau und Annotation des Kafka/Referenzkorpus ,conferences\DHd2016_neu\pdf\vortraege-011.pdf,conferences\DHd2016_neu\xml\vortraege-011.xml
102,Modellierung: eine Begriffsbestimmung,,Modellierung: eine Begriffsbestimmung,conferences\DHd2016_neu\pdf\vortraege-012.pdf,conferences\DHd2016_neu\xml\vortraege-012.xml
103,Korpusanalyse in der computergestützten Komparatistik,,Korpusanalyse in der computergestützten Komparatistik ,conferences\DHd2016_neu\pdf\vortraege-013.pdf,conferences\DHd2016_neu\xml\vortraege-013.xml
104,Moving around the City of Glass,,Moving around the City of Glass,conferences\DHd2016_neu\pdf\vortraege-014.pdf,conferences\DHd2016_neu\xml\vortraege-014.xml
105,Software-Einsatz in der geisteswissenschaftli-chen Forschungspraxis: Ergebnisse einer Umfrage,,Software-Einsatz in der geisteswissenschaftli-chen Forschungspraxis: Ergebnisse einer Umfrage,conferences\DHd2016_neu\pdf\vortraege-015.pdf,conferences\DHd2016_neu\xml\vortraege-015.xml
106,HistStadt4D - Multimodale Zugänge zu historischen Bildrepositorien zur Unterstützung stadt- und baugeschichtlicher Forschung und Vermittlung,, HistStadt4D - Multimodale Zugänge zu historischen Bildrepositorien zur Unterstützung stadt- und baugeschichtlicher Forschung und Vermittlung ,conferences\DHd2016_neu\pdf\vortraege-016.pdf,conferences\DHd2016_neu\xml\vortraege-016.xml
107,Die Geowissenschaftliche Analyse von großen Mengen historischer Texte: Die Visualisierung geographischer Verhältnisse in deutschen Familienzeitschriften,,Die Geowissenschaftliche Analyse von großen Mengen historischer Texte: Die Visualisierung geographischer Verhältnisse in deutschen Familienzeitschriften ,conferences\DHd2016_neu\pdf\vortraege-017.pdf,conferences\DHd2016_neu\xml\vortraege-017.xml
108,Die datengeleitete Ermittlung des gemeinsamen sprachlichen Inventars der Geisteswissenschaften,,Die datengeleitete Ermittlung des gemeinsamen sprachlichen Inventars der Geisteswissenschaften,conferences\DHd2016_neu\pdf\vortraege-018.pdf,conferences\DHd2016_neu\xml\vortraege-018.xml
109,Weibliches Erzählen im Expressionismus? Eine Stilometrie von Mela Hartwigs Prosa,,Weibliches Erzählen im Expressionismus? Eine Stilometrie von Mela Hartwigs Prosa,conferences\DHd2016_neu\pdf\vortraege-019.pdf,conferences\DHd2016_neu\xml\vortraege-019.xml
110,Small Data: Wissensproduktion und -vermittlung bei digitalen Visualisierungen in der Kunstgeschichte,, Small Data: Wissensproduktion und -vermittlung bei digitalen Visualisierungen in der Kunstgeschichte ,conferences\DHd2016_neu\pdf\vortraege-020.pdf,conferences\DHd2016_neu\xml\vortraege-020.xml
111,Digitale Editionen als Web-Services,,Digitale Editionen als Web-Services ,conferences\DHd2016_neu\pdf\vortraege-021.pdf,conferences\DHd2016_neu\xml\vortraege-021.xml
112,User-Experience von Spracharchiven: Eine Neubewertung der Interaktion von Archiv und Nutzern.,,User-Experience von Spracharchiven: Eine Neubewertung der Interaktion von Archiv und Nutzern.,conferences\DHd2016_neu\pdf\vortraege-022.pdf,conferences\DHd2016_neu\xml\vortraege-022.xml
113,Sonification: Vermittlungsansätze zwischen Klang und Information,,Sonification: Vermittlungsansätze zwischen Klang und Information,conferences\DHd2016_neu\pdf\vortraege-023.pdf,conferences\DHd2016_neu\xml\vortraege-023.xml
114,"Zu virtuellen Forschungsumgebungen, einer genuin digitalen Hermeneutik sowie deren Visualisierung",,"Zu virtuellen Forschungsumgebungen, einer genuin digitalen Hermeneutik sowie deren Visualisierung",conferences\DHd2016_neu\pdf\vortraege-024.pdf,conferences\DHd2016_neu\xml\vortraege-024.xml
115,Darstellung heterogenen und dynamischen Wissens mit CIDOC CRM und WissKI,,Darstellung heterogenen und dynamischen Wissens mit CIDOC CRM und WissKI,conferences\DHd2016_neu\pdf\vortraege-025.pdf,conferences\DHd2016_neu\xml\vortraege-025.xml
116,Tambora: Erkenntnisgewinne durch kartographische Visualisierungen von Forschungsdaten aus der historischen Klimatologie,,Tambora: Erkenntnisgewinne durch kartographische Visualisierungen von Forschungsdaten aus der historischen Klimatologie,conferences\DHd2016_neu\pdf\vortraege-026.pdf,conferences\DHd2016_neu\xml\vortraege-026.xml
117,„Jesus ist keine App“ - Fachsprachliche Konzeptualisierungen des ›Computers‹ und Ansätze computergestützter Fachsprachenlinguistik am Beispiel der Domänen Medizin und Theologie,,„Jesus ist keine App“ - Fachsprachliche Konzeptualisierungen des ›Computers‹ und Ansätze computergestützter Fachsprachenlinguistik am Beispiel der Domänen Medizin und Theologie,conferences\DHd2016_neu\pdf\vortraege-027.pdf,conferences\DHd2016_neu\xml\vortraege-027.xml
118,Knowledge-Based Support for Scholarly Editing and Text Processing,,Knowledge-Based Support for Scholarly Editing and Text Processing,conferences\DHd2016_neu\pdf\vortraege-029.pdf,conferences\DHd2016_neu\xml\vortraege-029.xml
119,"Annotation und Distant Reading: Probleme, Synergien, Perspektiven",,"Annotation und Distant Reading: Probleme, Synergien, Perspektiven",conferences\DHd2016_neu\pdf\vortraege-030.pdf,conferences\DHd2016_neu\xml\vortraege-030.xml
120,"ePoetics – Korpuserschließung und Visualisierung deutschsprachiger Poetiken (1770-1960) für den ,Algorithmic Criticism‘",," ePoetics – Korpuserschließung und Visualisierung deutschsprachiger Poetiken (1770-1960) für den ,Algorithmic Criticism‘ ",conferences\DHd2016_neu\pdf\vortraege-031.pdf,conferences\DHd2016_neu\xml\vortraege-031.xml
121,Über den Mehrwert der Vernetzung von OCR-Verfahren zur Erfassung von Texten des 17. Jahrhunderts,,Über den Mehrwert der Vernetzung von OCR-Verfahren zur Erfassung von Texten des 17. Jahrhunderts,conferences\DHd2016_neu\pdf\vortraege-032.pdf,conferences\DHd2016_neu\xml\vortraege-032.xml
122,Formate als Sackgassen: Handlungsempfehlungen,,Formate als Sackgassen: Handlungsempfehlungen,conferences\DHd2016_neu\pdf\vortraege-033.pdf,conferences\DHd2016_neu\xml\vortraege-033.xml
123,Digital Humanities in Bewegung: Ansätze für die computergestützte Filmanalyse,, Digital Humanities in Bewegung: Ansätze für die computergestützte Filmanalyse ,conferences\DHd2016_neu\pdf\vortraege-034.pdf,conferences\DHd2016_neu\xml\vortraege-034.xml
124,Operationalisierung von Forschungsfragen in CLARIN-D - Der Anwendungsfall Ernst Jünger,,Operationalisierung von Forschungsfragen in CLARIN-D - Der Anwendungsfall Ernst Jünger,conferences\DHd2016_neu\pdf\vortraege-035.pdf,conferences\DHd2016_neu\xml\vortraege-035.xml
125,Judaica recherchieren – Unterstützung bei der Realisierung forschungsspezifischer Suchlösungen durch die generische Suche von DARIAH-DE,,Judaica recherchieren – Unterstützung bei der Realisierung forschungsspezifischer Suchlösungen durch die generische Suche von DARIAH-DE,conferences\DHd2016_neu\pdf\vortraege-036.pdf,conferences\DHd2016_neu\xml\vortraege-036.xml
126,Nutzung und Kombination von Daten aus strukturierten und unstrukturierten Quellen zur Identifikation transnationaler Lebensläufe,,Nutzung und Kombination von Daten aus strukturierten und unstrukturierten Quellen zur Identifikation transnationaler Lebensläufe,conferences\DHd2016_neu\pdf\vortraege-037.pdf,conferences\DHd2016_neu\xml\vortraege-037.xml
127,Sprachwandel im Sanskrit? Eine Corpusstudie zum Einfluss Pāṇinis auf die Lexik des Sanskrit,,Sprachwandel im Sanskrit? Eine Corpusstudie zum Einfluss Pāṇinis auf die Lexik des Sanskrit,conferences\DHd2016_neu\pdf\vortraege-038.pdf,conferences\DHd2016_neu\xml\vortraege-038.xml
128,Kollaboratives Annotieren literarischer Texte,,Kollaboratives Annotieren literarischer Texte,conferences\DHd2016_neu\pdf\vortraege-039.pdf,conferences\DHd2016_neu\xml\vortraege-039.xml
129,Attribuierung direkter Reden in deutschen Romanen des 18.-20. Jahrhunderts. Methoden zur Bestimmung des Sprechers und des Angesprochenen,,Attribuierung direkter Reden in deutschen Romanen des 18.-20. Jahrhunderts. Methoden zur Bestimmung des Sprechers und des Angesprochenen,conferences\DHd2016_neu\pdf\vortraege-040.pdf,conferences\DHd2016_neu\xml\vortraege-040.xml
130,DiaCollo: diachronen Kollokationen auf der Spur,,DiaCollo: diachronen Kollokationen auf der Spur,conferences\DHd2016_neu\pdf\vortraege-041.pdf,conferences\DHd2016_neu\xml\vortraege-041.xml
131,Bearbeitung und Annotation historischer Texte mittels Graph-Datenbanken am Beispiel der Chronik des Matthias von Edessa,,Bearbeitung und Annotation historischer Texte mittels Graph-Datenbanken am Beispiel der Chronik des Matthias von Edessa ,conferences\DHd2016_neu\pdf\vortraege-042.pdf,conferences\DHd2016_neu\xml\vortraege-042.xml
132,Kafkas Stil. Zur Psychostilistik der Tagebücher Kafkas,,Kafkas Stil. Zur Psychostilistik der Tagebücher Kafkas,conferences\DHd2016_neu\pdf\vortraege-043.pdf,conferences\DHd2016_neu\xml\vortraege-043.xml
133,Digitale Workflows in Langzeitprojekten am Beispiel einer Infrastruktur zur Dokumentation indigener nordeurasischer Sprachen (INEL),,Digitale Workflows in Langzeitprojekten am Beispiel einer Infrastruktur zur Dokumentation indigener nordeurasischer Sprachen (INEL),conferences\DHd2016_neu\pdf\vortraege-044.pdf,conferences\DHd2016_neu\xml\vortraege-044.xml
134,Die Lehre der digitalen Visualisierung am Beispiel der Architektur,,Die Lehre der digitalen Visualisierung am Beispiel der Architektur,conferences\DHd2016_neu\pdf\vortraege-045.pdf,conferences\DHd2016_neu\xml\vortraege-045.xml
135,Sprache als Netz: Diagnostik durch Visualisierung,,Sprache als Netz: Diagnostik durch Visualisierung,conferences\DHd2016_neu\pdf\vortraege-046.pdf,conferences\DHd2016_neu\xml\vortraege-046.xml
136,A Visual Approach to the History of Swiss Federal Law,,A Visual Approach to the History of Swiss Federal Law,conferences\DHd2016_neu\pdf\vortraege-047.pdf,conferences\DHd2016_neu\xml\vortraege-047.xml
137,LERA - Explorative Analyse komplexer Textvarianten in Editionsphilologie und Diskursanalyse,, LERA - Explorative Analyse komplexer Textvarianten in Editionsphilologie und Diskursanalyse ,conferences\DHd2016_neu\pdf\vortraege-048.pdf,conferences\DHd2016_neu\xml\vortraege-048.xml
138,Classification of Literary Subgenres,,Classification of Literary Subgenres,conferences\DHd2016_neu\pdf\vortraege-049.pdf,conferences\DHd2016_neu\xml\vortraege-049.xml
139,Der falsche Quijote? Autorschaftsattribution für spanische Prosa der frühen Neuzeit.,,Der falsche Quijote? Autorschaftsattribution für spanische Prosa der frühen Neuzeit.,conferences\DHd2016_neu\pdf\vortraege-051.pdf,conferences\DHd2016_neu\xml\vortraege-051.xml
140,Korpushermeneutik - Ansatz und Werkzeug zur Analyse großer Textkorpora,,Korpushermeneutik - Ansatz und Werkzeug zur Analyse großer Textkorpora,conferences\DHd2016_neu\pdf\vortraege-052.pdf,conferences\DHd2016_neu\xml\vortraege-052.xml
141,"Wer bist Du, Nutzer?",,"Wer bist Du, Nutzer?",conferences\DHd2016_neu\pdf\vortraege-053.pdf,conferences\DHd2016_neu\xml\vortraege-053.xml
142,"Geisteswissenschaftliche Fachdatenrepositorien im Semantic Web. Modellierung, Vernetzung, Visualisierung.",,"Geisteswissenschaftliche Fachdatenrepositorien im Semantic Web. Modellierung, Vernetzung, Visualisierung.",conferences\DHd2016_neu\pdf\vortraege-054.pdf,conferences\DHd2016_neu\xml\vortraege-054.xml
143,"Topic, Genre, Text",,"Topic, Genre, Text",conferences\DHd2016_neu\pdf\vortraege-055.pdf,conferences\DHd2016_neu\xml\vortraege-055.xml
144,Technical and social Infrastructures for the Humanities: The Example of the Dagaare-English-Cantonese Dictionary,,Technical and social Infrastructures for the Humanities: The Example of the Dagaare-English-Cantonese Dictionary,conferences\DHd2016_neu\pdf\vortraege-056.pdf,conferences\DHd2016_neu\xml\vortraege-056.xml
145,Ein Facebook der anderen Art: Digitalisierte Epigraphiken als Quelle der Kulturforschung,,Ein Facebook der anderen Art: Digitalisierte Epigraphiken als Quelle der Kulturforschung ,conferences\DHd2016_neu\pdf\vortraege-057.pdf,conferences\DHd2016_neu\xml\vortraege-057.xml
146,Usability in den Digital Humanities am Beispiel des LAUDATIO-Repositoriums,,Usability in den Digital Humanities am Beispiel des LAUDATIO-Repositoriums,conferences\DHd2016_neu\pdf\vortraege-058.pdf,conferences\DHd2016_neu\xml\vortraege-058.xml
147,„Alles ist Wechselwirkung“ – auch in den Digital Humanities: Von ‘D‘ nach ‘H‘ und zurück durch Humboldts Kosmos-Vorträge (1827/28),,„Alles ist Wechselwirkung“ – auch in den Digital Humanities: Von ‘D‘ nach ‘H‘ und zurück durch Humboldts Kosmos-Vorträge (1827/28),conferences\DHd2016_neu\pdf\vortraege-059.pdf,conferences\DHd2016_neu\xml\vortraege-059.xml
148,Dramen als small worlds? Netzwerkdaten zur Geschichte und Typologie deutschsprachiger Dramen 1730-1930,, Dramen als small worlds? Netzwerkdaten zur Geschichte und Typologie deutschsprachiger Dramen 1730-1930 ,conferences\DHd2016_neu\pdf\vortraege-060.pdf,conferences\DHd2016_neu\xml\vortraege-060.xml
